Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
CASA for Children,,16050476,1401 NE 68th Ave.,Portland,OR,97213,Multnomah,93-0923866,"To implement a comprehensive diversity, equity and inclusion plan with multi-level strategies to strengthen culturally responsive advocacy that affirms the racial and ethnic identity development of children of color",2017 ,"$125,000 ",three years,5039885115,SJ040100 - Casa,SJ020200 - Child Abuse,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002699, 1002994, 1002293","PA010000, PG060100",TA00 - Cash Grants,Grant,,Building Community,"We advocate for the best interests of children who have been abused and neglected and who are under the protection of the juvenile dependency courts in Multnomah, Washington, and Columbia counties."
CASA of Lincoln County,CASA of Lincoln and Tillamook Counties,16050450,PO BOX 116,Newport,OR,97365,Lincoln,61-1551935,To recruit and train volunteers to provide court advocacy on behalf of children in foster care or experiencing abuse and neglect in Lincoln and Tillamook counties,2017 ,"$15,550 ",one year,5412653116,SJ040100 - Casa,,,UN0300 - Program Expansion,Project Support,UK0100 - Advocacy,Project Support,,,"1002943, 1002599","PG030000, PA010000, PG060100",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to speak for the best interests of abused and neglected children in juvenile Dependency Court.

We promote and support quality volunteer representation for children to provide each child a safe, permanent, nurturing home."
Catholic Community Services of Lane County,,16050356,1025 G Street,Springfield,OR,97477,Lane,93-0409105,For project support to replicate a successful Portland-based immigration legal assistance program in Lane County and to enhance culturally specific services that engage Latinos in agency leadership and governance,2017 ,"$175,000 ",two years,5413453628,SS000000 - Human Services,,,UN0000 - Program Development,Project Support,,,,,2001716,PA000000,TA00 - Cash Grants,Grant,,Building Community,"Responding to Christ's message to love our neighbors as ourselves, Catholic Community Services offers immediate help by providing food and other assistance to anyone in need and seeks to instill hope by helping Lane County families take positive steps to move out of poverty."
Causa of Oregon,,16050309,700 Marion St. NE,Salem,OR,97301,Marion,61-1590160,"To support the Oregon For All coalition, a diverse group of social justice nonprofits working to prevent policies that harm immigrant communities and to help set an environment where immigrant integration is seen as a value-add to the economic strength and vitality of our communities",2017 ,"$200,000 ",two years,5039995940,SR040100 - Immigrants' Rights,,,UN0000 - Program Development,Project Support,,,,,7007708,"PG010400, PG010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"Causa works to improve the lives of Latino immigrants and their families in Oregon through advocacy, coalition building, leadership development, and civic engagement. Latino immigrants and their families are the heart of Causa and inspire, implement, and champion our work."
Center for Intercultural Organizing,Unite Oregon,16050467,700 N. Killingsworth Street,Portland,OR,97217,Multnomah,74-3098100,"To support the merger of the Center for Intercultural Organizing and Oregon Action, now known as Unite Oregon, to create new opportunities to advance equity across rural and urban Oregon",2017 ,"$200,000 ",two years,5032874117,SS090300 - Immigrant Services,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UD0500 - Mergers,Capacity Building,,,7007708,PG010000,TA00 - Cash Grants,Grant,,Building Community,"Led by people of color, immigrants and refugees, rural communities, and people experiencing poverty, we work across Oregon to build a unified, intercultural movement for justice."
Central City Concern,,16050564,232 NW Sixth Avenue,Portland,OR,97209,Multnomah,93-0728816,To support a new program for individuals exiting incarceration that provides crucial holistic supports for social and emotional development and skills-building that will improve their successful re-entry to work and live within the community,2017 ,"$180,000 ",three years,5032941681,SJ050500 - Offender Re Entry,SN020300 - Employment,,UN0000 - Program Development,Project Support,,,,,"1002994, 1002699, 1002270","PE030100, PG040200, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The mission of Central City Concern is:

Providing comprehensive solutions to ending homelessness 
and achieving self-sufficiency.


Central City Concern meets this mission through innovative outcome based strategies which support personal and community transformation.

1.	Direct access to housing which supports lifestyle change.

Central City Concern provides access to several housing options for singles and families, based on personal choice and goals. These include Permanent Supportive Housing, low barrier housing for low income people, and supportive recovery housing for people with addictions and/or mental illness. 

2.	Integrated healthcare services that are highly effective in engaging people who are often alienated from mainstream systems.

Central City Concern provides recovery oriented systems of care encompassing the needs of people with addictions, mental illness and serious health conditions.  Central City Concern services are accessible and people feel welcome and valued in our clinical settings. 

3.	The development of peer relationships that nurture and support personal transformation and recovery. 

Most people will achieve and maintain positive lifestyle change when they are supported by peers who are also on the road to realizing a higher potential.

4.	Attainment of income through employment or accessing benefits.

All people should have the opportunity to contribute to their own sustainability in the community. With legitimate income, people can pay their own way and free up subsidized resources for others in need. Employment also contributes to increased self-esteem and enhanced commitment to positive change."
Central Oregon Intergovernmental Council,,16120947,334 NE Hawthorne Avenue,Bend,OR,97701,Deschutes,93-0620261,"To increase diverse rural citizen involvement in governance by enhancing access to power and economic opportunities for target populations, improving trust between citizens and government, and establishing an ongoing regional network for citizen engagement",2017 ,"$150,000 ",two years,5415488163,SK040100 - Civic Participation,SN000000 - Community And Economic Development,,UJ0000 - Network Building And Collaboration,Project Support,UH0000 - Outreach,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,"2085538, 2085075, 2085389, 2085000","PG010000, PG030200, PE000000, PA030000",TA00 - Cash Grants,Grant,,Building Community,"""To provide education, retraining and economic development services to positively affect regional employment, individual lives, the business community and local government"""
Centro Cultural de Condado de Washington,,16050534,PO Box 708,Cornelius,OR,97113,Washington,93-0606729,"To support the oldest Latino-led organization in Oregon as it establishes a Civic Engagement Program to continue developing cross-generational leadership and grow advocacy on emergent, regional and systemic issues impacting Latinos in Washington County",2017 ,"$150,000 ",three years,5033590446,SS090300 - Immigrant Services,,,UA0000 - General Support,Operating Support,UK0100 - Advocacy,Project Support,,,1002994,"PE050000, PG030200, PG010200",TA00 - Cash Grants,Grant,,Building Community,"Centro Cultural's mission is to promote social and economic development, meet basic human and community needs, and increase cultural consciousness among diverse groups in the community."
Centro Latino Americano,,16100848,944 W. 5th Ave.,Eugene,OR,97402,Lane,93-0638731,"To support a collaboration with Huerto de la Familia, Downtown Languages and other nonprofits providing low-cost immigration services and workers' rights advocacy to undocumented residents in Lane County",2017 ,"$40,000 ",one year,5416872667113,SS090300 - Immigrant Services,SR040100 - Immigrants' Rights,,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,,,2001716,"PG010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"Centro Latino Americano is a bilingual, multicultural agency dedicated to the empowerment of the Latino community of Lane County by offering social services, facilitating access to community resources and advocating for fair treatment."
Coalition of Communities of Color,,17021211,221 NW Second Avenue,Portland,OR,97209,Multnomah,47-4448490,For participation in the Meyer Leadership Development Learning Collaborative,2017 ,"$10,000 ",one year,5032005722,SK020000 - Leadership Development,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UJ0100 - Convening,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7014273,PE000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Coalition of Communities of Color is to address the socioeconomic disparities, institutional racism, and inequity of services experienced by our families, children and communities; and to organize our communities for collective action resulting in social change to obtain self-determination, wellness, justice and prosperity."
Coalition of Communities of Color,,16060757,221 NW Second Avenue,Portland,OR,97209,Multnomah,47-4448490,To support the Bridges Leadership Development Initiative,2017 ,"$43,750 ",one year,5032005722,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,,PE000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Coalition of Communities of Color is to address the socioeconomic disparities, institutional racism, and inequity of services experienced by our families, children and communities; and to organize our communities for collective action resulting in social change to obtain self-determination, wellness, justice and prosperity."
Coalition of Communities of Color,,16050460,221 NW Second Avenue,Portland,OR,97209,Multnomah,47-4448490,"To support BRIDGES: A Leadership Initiative, which identifies opportunities to place racially and ethnically diverse Bridges alumni into positions of influence, and to support organizations and institutions around the state seeking to diversify their boards, councils and committees",2017 ,"$140,000 ",two years,5032005722,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Coalition of Communities of Color is to address the socioeconomic disparities, institutional racism, and inequity of services experienced by our families, children and communities; and to organize our communities for collective action resulting in social change to obtain self-determination, wellness, justice and prosperity."
Coalition of Community Health Clinics,,16120951,"434 NW 6th, 303",Portland,OR,97209,Multnomah,91-1829239,For technical assistance to help 14 member clinics to design and implement equity-focused community health improvement strategies,2017 ,"$146,038 ",two years,5035464991,SE040200 - Community Health Care,SE050100 - Health Care Clinics,,UN0000 - Program Development,Project Support,,,,,7014273,"PH010000, PE000000, PG010000, PG030200, PC010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Coalition of Community Health Clinics is to improve health care for vulnerable populations residing in the Portland metropolitan area. We achieve this mission by strengthening community health clinics, promoting health equity, and fostering collaboration across the safety-net delivery system."
Columbia River Inter-Tribal Fish Commission,,16050515,700 NE Multnomah Street,Portland,OR,97232,Multnomah,93-0695227,To support tribal communities living along the Columbia River in the development of an Inter-Tribal housing authority and long-term economic strategy,2017 ,"$100,000 ",two years,5032380667,SN000000 - Community And Economic Development,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"2085677, 1002891, 7023817",PE060300,TA00 - Cash Grants,Grant,,Building Community,"The Columbia River Inter-Tribal Fish Commission coordinates management policy and provides fisheries technical services for the Yakama, Warm Springs, Umatilla, and Nez Perce tribes.

CRITFC’s mission is “to ensure a unified voice in the overall management of the fishery resources, and as managers, to protect reserved treaty rights through the exercise of the inherent sovereign powers of the tribes.”

This mission is accomplished with four primary goals:

1. Put Fish Back in the Rivers and Protect Watersheds Where Fish Live

CRITFC provides our four member tribes and the region with invaluable biological research, fisheries management, hydrology, and other science to support the protection and restoration of Columbia River Basin salmon, lamprey, and sturgeon. The vision of this goal is to reverse the decline of salmon, lamprey, and sturgeon and rebuild their numbers to full productivity. This work is guided by the holistic principles outlined in Wy-Kan-Ush-Mi Wa-Kish-Wit (Spirit of the Salmon), the tribal salmon plan that addresses recommended restoration actions in every phase of the salmon’s lifecycle from stream to ocean and back.

2. Protect Tribal Treaty Fishing Rights

CRITFC employs lawyers, policy analysts, and fisheries enforcement officers who work to ensure that tribal treaty rights are protected. All of these activities are done in careful coordination with and under the direction of member tribes. The commission works closely with state and federal agencies to ensure fair harvest sharing between tribal and non-tribal fisheries.

3. Share Salmon Culture

CRITFC shares news, information, and the tribal perspective on a variety of issues. Common topics include salmon and lamprey restoration, the nature of treaty fishing rights, and tribal culture. This effort ranges from school children to policy makers. By educating the general public on these topics, the tribes hope to increase interest for productive partnerships and support in the effort to restore Columbia River Basin salmon and lamprey.

4. Provide Fisher Services

CRITFC provides a variety of services directly to fishers from its member tribes. The Salmon Marketing program provides fishers from the four member tribes with resources to help them carry on the tradition of making a living from fishing, whether that be from commercial, over-the-bank, or value-added fish sales. The organization also operates and maintains 31 fishing access sites along the Columbia River for the exclusive or near-exclusive use of the fishers from all the member tribes."
Common Cause Education Fund,,16050287,"805 15th Street NW, Suite 800",Washington,DC,20005,,31-1705370,For project support to strengthen the influence and civic engagement of disenfranchised communities by advancing campaign finance reforms aimed at achieving a more inclusive and equitable democracy,2017 ,"$150,000 ",three years,2021365116,SK040100 - Civic Participation,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE000000, PG030200",,Grant,,Building Community,Common Cause Oregon works to realize the unfinished dream of democracy.
Communities United for People,,16120907,PO Box 33167,Portland,OR,97292,Multnomah,93-1181863,"To fortify local leadership through the Women Rise Fellowship Program, the Portland Prison Divestment Campaign, and the Supervision Series",2017 ,"$85,000 ",one year,5032956466,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,UE0000 - Leadership And Professional Development,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7007708,"PG030200, PE000000, PA030000, PG040100",TA00 - Cash Grants,Grant,,Building Community,"Enlace is an international alliance of organizations that has developed an Integrated Organizing Approach (IOA) focused on teambuilding and strategic campaigning. We use this IOA to win campaigns against transnational corporations, and build capacity of organizations through trainings and team building systems."
Community Cycling Center,,16050561,1805 NE 2nd Ave,Portland,OR,97212,Multnomah,93-1127186,"For leadership development and civic engagement — among low-income, immigrant families in Portland's Cully neighborhood — aimed at creating safer routes to school, positive health impacts and access to bikes",2017 ,"$20,000 ",two years,5032888864,SE130600 - Physical Fitness,,,UN0000 - Program Development,Project Support,,,,,"7014273, 1002699","PA030000, PA010000",TA00 - Cash Grants,Grant,,Building Community,"We love Portland and bikes. So, we put our two loves together, creating a non-profit organization on a mission to broaden access to bicycling and its benefits.

Our vision: to help build a vibrant community where people of all backgrounds use bicycles to stay healthy and connected. We believe that all Portlanders—regardless of income or background—should have the opportunity to experience the joy, freedom, and health benefits of bicycling. This is the motivation behind everything that we do."
Coos Art Museum,,16050180,235 Anderson,Coos Bay,OR,97420,Coos,93-6041248,"To support diverse programming, educational activities and exhibitions at this Southern Oregon Coast community resource",2017 ,"$15,000 ",one year,5412673901,SA070100 - Art Museums,,,UA0000 - General Support,Operating Support,,,,,"2001702, 2001706, 2001704",PA000000,TA00 - Cash Grants,Grant,,Building Community,"Coos Art Museum is the cornerstone of visual arts on Oregon's Southern Coast.  Through collections, exhibitions and educational programs, we are building an arts and cultural community and promoting the appreciation, understanding and expression of visual art."
Coquille Indian Tribe,,16050247,3050 Tremont,North Bend,OR,97459,Coos,93-1073003,For capital construction support to expand the Community Health Center in order to increase capacity for culturally based health care services for Native Americans in Southwest Oregon,2017 ,"$85,000 ",one year,5417560904,SE040200 - Community Health Care,,,UF0400 - Building And Renovations,Capital Support,,,,,"2001711, 2001713, 2001704, 2001702, 2001706, 2001716",PE060300,TA00 - Cash Grants,Grant,,Building Community,Provide dynamic programs and services through sustainable economic development that promote and support Tribal members’ equal access and opportunity for achieving their full potential.
EUVALCREE,,16120894,67 SW 2nd Ave,Ontario,OR,97914,Malheur,46-2224467,To support an initiative to increase civic engagement and leadership development among under-represented and underserved Latino residents in Malheur County,2017 ,"$84,280 ",one year,5418893189,SK020000 - Leadership Development,SK040100 - Civic Participation,,UN0000 - Program Development,Project Support,UE0400 - Management And Leadership Development,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,2001718,"PG030200, PE050000",TA00 - Cash Grants,Grant,,Building Community,"Mobilize and engage under-served and underrepresented populations to improve the lives of all children, families and communities in Oregon and Idaho."
Family and Community Together,FACT,16050186,2475 SE Ladd Ave.,Portland,OR,97214,Clackamas,36-4533809,For operating support to move toward overall organizational maturity to advance its work of serving Oregonians experiencing disability,2017 ,"$150,000 ",two years,5037866082,SS040000 - Family Services,,,UA0000 - General Support,Operating Support,,,,,7007708,PH010000,TA00 - Cash Grants,Grant,,Building Community,"To empower Oregon families experiencing disability in their pursuit of a whole life by expanding awareness, growing community, and equipping families."
Family Forward Oregon,,16050431,PO Box 15146,Portland,OR,97293,Multnomah,80-0436735,To support community engagement in a statewide campaign for a publicly-supported paid family and medical leave program and to bolster state investments in affordable child care,2017 ,"$160,000 ",two years,5039286789,SS040000 - Family Services,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PA010000, PA030000, PG030200",TA00 - Cash Grants,Grant,,Building Community,Family Forward Oregon is creating public policies and changing workplace practices to ensure economic security for women and for families. We are also working to dismantle the connection between caregiving and economic insecurity.
Farmworker Housing Development Corporation,,16050416,"1274 Fifth Street, Suite 1-A",Woodburn,OR,97071,Marion,93-1055994,"For program support of Evolve, a workforce training and jobs program designed to increase economic opportunity beyond agriculture for farmworkers in Marion County",2017 ,"$200,000 ",three years,5039811618,SN020300 - Employment,SN040000 - Housing Development,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UN0000 - Program Development,Project Support,,,"2001701, 1002794, 1002994, 1003044, 1002270, 1002699, 1002636, 2001717","PE000000, PG030200, PG010200",TA00 - Cash Grants,Grant,,Building Community,"Recognizing the vital contribution of farmworkers to our economy, the mission of FHDC is to develop farmworker leadership for stronger and more secure families and communities through affordable housing, social services, education and economic development.

We carry out this mission by pursuing these goals:
	To develop and manage affordable housing located within Urban Growth Boundaries;
	To provide social services that promote personal and economic self-sufficiency;
	To include farmworkers in decision-making and ongoing project management;
	To develop and support the leadership of farmworkers within the larger community; and
	To build and strengthen community partnerships."
Four Rivers Cultural Center and Museum,,16050415,676 SW Fifth Avenue,Ontario,OR,97914,Malheur,93-0989730,"For capital support to upgrade the theater sound system at this 19-year-old organization that offers inclusive programming and reaches diverse audiences that include Japanese, Latino and Basque communities in Malheur County",2017 ,"$40,000 ",one year,5418898191,SA000000 - Arts And Culture,,,UF0400 - Building And Renovations,Capital Support,,,,,2001718,PA000000,TA00 - Cash Grants,Grant,,Building Community,To unite our community through the celebration and education of diversity & culture.
Funders for Lesbian and Gay Issues,Funders for LGBTQ Issues,16121036,"104 W 29th St,",New York,NY,10001,,13-4144494,"To sponsor the 2017 Funding Forward Conference, an annual gathering of grantmakers committed to LGBTQ issues",2017 ,"$5,000 ",one year,2124752930,SD000000 - Philanthropy,,,,,,,,,7007708,PC010000,TA00 - Cash Grants,Grant,,Building Community,"Funders for LGBTQ Issues works to increase the scale and impact of philanthropic resources aimed at enhancing the well-being of lesbian, gay, bisexual, transgender and queer communities, promoting equity, and advancing racial, economic and gender justice."
Garten Services,,16050454,PO Box 13970,Salem,OR,97309,Marion,93-0582004,To support this agency's transition from a sheltered work employment program for people with disabilities to supporting people with disabilities working at jobs within the community with local employers,2017 ,"$75,000 ",one year,5035811984,SS080200 - Sheltered Employment,SS090100 - Developmental Disability Services,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002794, 2001716, 2001717, 1002636",PH010000,TA00 - Cash Grants,Grant,,Building Community,"To support people with disabilities in their effort to contribute to the community through employment, career, and retirement opportunities.  Our actions increase society's awareness of human potential."
Gateway to College National Network,,16120961,"529 SE Grand Ave., Suite 300",Portland,OR,97214,Multnomah,32-0237828,To build internal and external capacity to implement a best practice model for re-engaging rural youth at risk of not completing high school,2017 ,"$150,000 ",two years,9716341212,SB090500 - Student Retention/Dropout Prevention,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7007708,"PA010400, PG050000",TA00 - Cash Grants,Grant,,Building Community,GtCNN's mission is to support communities in building sustainable pathways for disconnected youth to a high school diploma and meaningful college credential.
Guardian Partners,,16050305,10819 NE Halsey,Portland,OR,97220,Multnomah,46-0907112,For capacity building to develop demographic tracking systems in anticipation of expanded guardianship services for adults and older adults with disabilities in and beyond Multnomah County,2017 ,"$98,000 ",two years,5037249063,SJ040100 - Casa,SS090500 - Senior Services,,UG0000 - Financial Sustainability,Capacity Building,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,7007708,"PH010000, PG030000, PG060100, PA020300",TA00 - Cash Grants,Grant,,Building Community,"Guardian Partners provides court appointed education and case monitoring of Guardians in an effort to identify and prevent abuse.  Our goal is to support Guardians and therefore the vulnerable older adults, persons with disabilities, and children under their care."
Haven from Domestic Violence,HAVEN,16050444,P.O. Box 576,The Dalles,OR,97058,Wasco,93-0798451,To expand a comprehensive teen dating and sexual violence prevention program into additional school districts in the the Columbia River Gorge region and to develop program evaluation tools,2017 ,"$150,000 ",two years,5412961662,SJ020500 - Sexual Abuse,,,UN0000 - Program Development,Project Support,,,,,"2001707, 2001723, 7023817, 1002990, 1002891",PA010400,TA00 - Cash Grants,Grant,,Building Community,"HAVEN's mission is to provide safe and supportive services to those affected by interpersonal and sexual violence by empowering survivors and our community through advocacy, education and prevention."
